Ensembl_id                BasalPD39  	BasalPD36	  BasalPD33	  BasalPD30	  BasalPD27	  PDTrain21	  PDTrain17	   PDTrain13	  PDTrain09 	PDTrain05
ENSG00000154096	26.99670279	22.48035518	35.34188401	30.05705845	79.09360108	61.3895659	99.40002778	78.63322558	266.0831686	94.795595
ENSG00000138755	6.966891043	35.76420142	31.41500801	16.90709538	10.40705277	31.83162676	29.92689008	4.914576599	42.21983856	71.09669625
ENSG00000162772	582.6062635	920.6727279	53.01282602	315.5991137	217.507403	28.80004326	183.8366105	63.88949578	61.85697278	82.03464952
ENSG00000140557	4.354306902	12.26201191	10.798909	13.14996307	36.42468471	12.126334	98.33121028	40.95480499	40.25612514	92.97260279
ENSG00000153234	134.983514	101.1615983	59.88485902	202.8851445	47.87244276	43.95796077	49.16560514	19.65830639	44.18355198	27.34488317
ENSG00000168542	635.7288077	1372.3235	1262.490634	2177.258171	3094.01679	1119.412208	2119.465108	1905.217528	7330.542202	1930.548752
ENSG00000171246	18.28808899	58.24455659	30.43328901	12.21067999	43.70962165	6.063167002	3.206452509	22.93469079	12.76413724	0
ENSG00000116690	37.44703936	34.74236709	6.872033002	29.11777537	156.1057916	12.126334	26.72043757	16.381922	16.69156408	34.63685202
ENSG00000265356	42.67220764	8.174674609	92.28158603	4.696415382	60.36090609	0.757895875	36.3397951	11.4673454	6.872996975	9.114961058
ENSG00000159388	11126.125	14452.82471	2098.915223	7069.044434	3031.574473	2473.772137	1720.79618	2317.222866	1972.550132	1899.557884
ENSG00000162783	2188.474649	4119.014169	480.0605912	1284.939249	1373.730966	526.7376333	484.1743289	979.6389353	455.5815138	450.2790763
ENSG00000184811	23.51325727	16.34934922	5.890314002	15.9678123	135.2916861	17.43160513	7.481722521	27.84926739	15.70970737	1.822992212
ENSG00000108821	495.5201254	980.9609531	772.6128533	1745.187956	3128.360064	723.7905609	1058.129328	1479.287556	6806.230719	1296.147462
ENSG00000248746	30136.15807	13379.89867	1781.819986	12891.66022	18857.57963	7472.85333	527.9958465	6048.205601	7248.066239	4956.715823
ENSG00000105650	552.9969765	377.0568664	179.6545771	126.8032153	143.6173283	109.8949019	114.3634728	182.6584302	206.1899093	34.63685202
ENSG00000259828	16.54636623	42.9170417	47.12251202	14.08924615	16.65128444	25.01056388	9.619357527	0	9.818567107	5.468976635
